specobjid,spiral,elliptical,uncertain
2102060129527556096,0,0,1
2006529611202062336,0,0,1
2489490101873174528,1,0,0
453783048702420992,0,0,1
2665066165524523008,0,0,1
2903760249427093504,0,0,1
1578632663856605184,0,0,1
2996135451288430592,0,0,1
2497392017567410176,1,0,0
1810475140396378112,0,1,0
2819268830008731648,1,0,0
2740549838851565568,0,0,1
526993206492030976,0,0,1
2659511982469703680,1,0,0
2640288670891927552,0,0,1
750985169757825024,0,0,1
1803732110108813312,0,0,1
613620708852918272,0,0,1
945929684414130176,0,1,0
745366390193547264,0,1,0
2111084390271444992,1,0,0
1919667652062636032,0,0,1
1962577179527112704,0,0,1
3133396284195497984,1,0,0
2355539893326735360,0,1,0
1471604279994247168,1,0,0
1067504335270733824,1,0,0
1809411911729571840,0,0,1
947044589221472256,0,0,1
2747265655739803648,1,0,0
1102395687493986304,0,0,1
1564016585323079680,0,0,1
2984930053445412864,0,1,0
2362170223320131584,0,0,1
1543625312284207104,0,0,1
2817122033572276224,0,0,1
1812854208781641728,0,0,1
2419619173714913280,1,0,0
2399408214274762752,1,0,0
316505444250052608,0,0,1
3248228178635810816,0,0,1
1115789942841174016,0,0,1
2443304017929988096,0,1,0
1882640491976091648,0,0,1
1593217960695064576,1,0,0
740879283223816192,0,0,1
1853242300465965056,0,0,1
3104261149953124352,1,0,0
1305052726983419904,1,0,0
622790357544888320,0,0,1
2827278492356339712,1,0,0
2032397281176610816,1,0,0
2472591428560119808,1,0,0
844549762198824960,0,0,1
842305384055072768,1,0,0
842300436252747776,1,0,0
666624313167734784,0,0,1
1903995203455313920,0,0,1
703855428164937728,1,0,0
2245161576740972544,0,1,0
1136095172770162688,1,0,0
1568411877837400064,1,0,0
2427604652057978880,0,0,1
460615963713234944,0,1,0
747606645588125696,0,1,0
437008623122540544,1,0,0
324332049370474496,1,0,0
2425349828822198272,1,0,0
325504128597911552,0,0,1
1483964436300457984,0,0,1
1148575455670986752,0,0,1
2408418163298428928,1,0,0
1388388012877965312,0,0,1
1613488009825511424,1,0,0
2526669812839507968,0,0,1
537144174630168576,0,0,1
2263129240134248448,0,0,1
1454806486688491520,1,0,0
2473711281505331200,0,0,1
1443419944657119232,0,0,1
2344203102099367936,1,0,0
970670894240262144,1,0,0
718430553228994560,0,0,1
1178893114618701824,0,1,0
1428872034418452480,0,0,1
1090017385336825856,0,0,1
2165261157437302784,1,0,0
2110076138091997184,0,0,1
1619116410166863872,0,0,1
511210816519825408,0,0,1
808517666158438400,0,0,1
1579653016603092992,1,0,0
721803581618939904,0,0,1
2558167521064675328,0,0,1
857950609867827200,1,0,0
450377860335560704,0,0,1
1902834397661390848,0,0,1
1776838886685698048,0,0,1
1435660969954011136,0,0,1
2200093136686966784,0,0,1
708286183569909760,1,0,0
